text_no_emoji,lang,translated_text
jai pas les mots,lv,I don't have the words
juste admire,et,just admire
jai besoin dun bavoir,fi,I need a bib
yes chef,en,yes chef
fell knees,no,fell knees
ok half year,en,ok half year
today,so,today
hahahaha,so,hahahaha
back,en,back
comedy make happy,en,comedy make happy
nop,tl,nop
te amo,pt,I love you
see video raise,et,see video raise
always,so,always
ad unforgetable love india,no,ad unforgetable love india
earth billion years old somehow managed alive time jeremy allen white calvin klein promotion,en,earth billion years old somehow managed alive time jeremy allen white calvin klein promotion
siempre fui,es,I always went
wait shameless,en,wait shameless
yes,tr,yes
watching every single day till season came,en,watching every single day till season came
oh hi sista,fi,oh hi sista
stop seducing,en,stop seducing
god,cy,god
deargod pls,ca,deargod pls
need,af,need
happy year anniversary,en,happy year anniversary
lip gallagher,tl,lip gallagher
daddy,cy,daddy
sim eu quero ele,ca,Yes I want him
coming back watch,en,coming back watch
get footage,da,get footage
yes chef,en,yes chef
hi back,vi,hi back
watching bear,en,watching bear
coming back every time rough day,en,coming back every time rough day
god video good,hr,god video good
nope,it,nope
beautiful time alive,ro,beautiful time alive
yes chef,cy,Yes chef
still,sv,still
pregunten el color de nada,es,Ask the color of nothing
maybe even collection ads saves,en,maybe even collection ads saves
great lorenzo zurzolo benjamin wadsworth,nl,great lorenzo zurzolo benjamin wadsworth
nop,tl,nop
qui per ricordare,it,here to remember
chi se lo scorda questo è il punto,it,who forgets this is the point
nopeee,nl,noeee
nope,it,nope
lip gallagher,tl,lip gallagher
ear,en,ear
nunca lo voy superar,es,I will never overcome it
guilty,en,guilty
yes chef,cy,Yes chef
understand hype,de,understand hype
شهالجمال فلا امل من الريل عزه,ar,"Shahlal Al -Jamal, there is no hope from the Rail"
take time need,et,take time need
still,sv,still
girl,tr,girl
still,sv,still
volví porque creí que esto era insuperable sigo en duda,es,"I came back because I thought this was insurmountable, I'm still in doubt"
happy place,en,happy place
jai jamais autant aimé une pub,fr,I never liked an ad
por qué este video dura horas,pt,Why this video lasts hours
future still yum,fr,future still yum
god never gets old,da,god never gets old
feel like paying watch,af,feel like paying watch
ask saved video,da,ask saved video
calvin klein needs call,en,calvin klein needs call
still going back,en,still going back
months would believe notifications still get daily,en,months would believe notifications still get daily
literally dream last night never dream never remember know love big deal,en,literally dream last night never dream never remember know love big deal
still forgotten video calvin klein,no,still forgotten video calvin klein
sort looks like young bear grylls,no,sort looks like young bear grylls
exact couch parents house entire life still notice brother point,en,exact couch parents house entire life still notice brother point
still,sv,still
still,sv,still
please photograph,en,please photograph
thanks calvin klein,en,thanks calvin klein
husband,sw,husband
know weird still lockscreen,en,know weird still lockscreen
foi você que assistiu série com ele,fr,It was you who watched series with him
simm,fi,simm
yesssss cheff,en,yesssss cheff
one coming back rough time,en,one coming back rough time
got binged watch shameless,en,got binged watch shameless
six,ca,six
end,da,end
still,sv,still
jamás cansaré de ver este,es,I will never tire of seeing this
pq c repite tanto,ca,Because it is repeated so much
use hear songs way listen asking brazil write hearing soon delete change listen explain please,en,use hear songs way listen asking brazil write hearing soon delete change listen explain please
poorly done underwear padding,en,poorly done underwear padding
came back,en,came back
back reminder still internet view,da,back reminder still internet view
nope,it,nope
need another one,en,need another one
que bien come la rosalía,es,how well eat the Rosalia
back,en,back
deus abençoe,pt,God blesses
cannot look away,en,cannot look away
cuantos dias dura este video,es,How many days this video lasts
slow walk damn hot,so,slow walk damn hot
te voy regalar esa camiseta,es,I'm going to give you that shirt
daily,cy,daily
since shameless,en,since shameless
weeks somehow find hotter today,en,weeks somehow find hotter today
know ig,en,know ig
neighbors asked got new dog,af,neighbors asked got new dog
still,sv,still
bu video gercek mi,tr,Is this video real
kkkkkkkkkkkk,fi,kkkkkkkkk
hahahhahahahahha,so,hahahhahahahahahahahha
le le,fr,the
still,sv,still
video endless,da,video endless
esse homem acabou com meu psicológico,pt,This man ended my psychological
even attractive,en,even attractive
definitely apollo,it,definitely apollo
gay got socks,tl,gay got socks
get hype get hype,no,get hype get hype
still,sv,still
deus sou eu de novo,fr,God is me again
oh,fi,oh
many times seen reel yes,en,many times seen reel yes
misericórdia kkkkkk,et,mercury kkkkkk
weeks still lives rent free mind,en,weeks still lives rent free mind
looks like gene wilder willy wonka,af,looks like gene wilder willy wonka
רלוונטי,he,Relevant
umm loving lip,et,umm loving lip
army quer um ensaio assim com jk por favor,pt,Army wants such a rehearsal with JK please
back baby,tl,back baby
video hour long,es,video hour long
looking girlfriend,af,looking girlfriend
remember episode shameless,da,remember episode shameless
daddyyyyy,cy,daddyyyyy
leggi commenti,it,Read comments
yes,tr,yes
احااا ذا الي يمثل ب ال bear,ar,"Oh, who represents the bear"
shameless,en,shameless
ahhhh jajajajjajajajaja se quiere parecer mi,sl,ahhhh jajajajajajaja you want to look like my
work art,af,work art
think might missed weeks shameless,en,think might missed weeks shameless
weeks later still watching,en,weeks later still watching
dear god gotten much yummiest since,en,dear god gotten much yummiest since
meant much yummier since shameless sorry hate bad grammar say crazy song used,en,meant much yummier since shameless sorry hate bad grammar say crazy song used
really liked ck mens underwear campaigns since worked bloomingdales east street nyc,en,really liked ck mens underwear campaigns since worked bloomingdales east street nyc
