text_no_emoji,lang,translated_text
happy belated jaw,af,happy belated jaw
happy birthday,en,happy birthday
happy birthday bombón,so,Happy Birthday Bombón
happy belated birthday jermey,en,happy belated birthday jermey
happy belated birthday,en,happy belated birthday
season bear premiere,en,season bear premiere
voy tener que ver el oso por que ya estraño lip,es,I will have to do with the bear because Lip's strange
feliz cumpleaños al amor de mi vida,es,Happy birthday to the love of my life
palestinians libanons syria think alllivematters,en,palestinians libanons syria think alllivematters
goshhhhhh,cy,goshhhhhh
hands deserved win everything nominated hollywood gd politics viewers winners,en,hands deserved win everything nominated hollywood gd politics viewers winners
yes,tr,yes
smash,sq,smash
forever lipe,da,forever lipe
chinese fans call want say look like uncle,en,chinese fans call want say look like uncle
need,af,need
horrible,en,horrible
say sgt rock one coolest characters,en,say sgt rock one coolest characters
man,tl,man
looking good,tl,looking good
guy definition sexyseriously man,en,guy definition sexyseriously man
friend ana gomez said daddy fr,cy,friend ana gomez said daddy fr
glad finally found page,en,glad finally found page
mi marido,so,My husband
está mas fuerte que el aliento de un oso,es,is stronger than the breath of a bear
keep,et,keep
sei tu,fi,it's you
ifly lip,cy,ifly lip
lip,tl,lip
like,et,like
wish spoon,en,wish spoon
would love work enigma project,nl,would love work enigma project
believe eating,da,believe eating
dolly,cy,dolly
amazing watch,sw,amazing watch
pants would look better floor,af,pants would look better floor
equinox paying,fr,equinox paying
watching shameless right,en,watching shameless right
yum,tr,yum
better man,no,better man
put fantastic four comic next season,en,put fantastic four comic next season
phillip love,en,phillip love
literally perfect goodness,en,literally perfect goodness
huge,da,huge
want sándwich please love still watchimg shameless want finish hello spain,en,want sándwich please love still watchimg shameless want finish hello spain
babe,so,babe
coming back formally petition continue shameless era photographing noel fisher cameron monaghan also fans would separately together either way,en,coming back formally petition continue shameless era photographing noel fisher cameron monaghan also fans would separately together either way
james dean upgrade,sv,james dean upgrade
happy birthday,so,happy birthday
auguri boosss,et,wishes boosss
happy birthday,so,happy birthday
happy birthday,so,happy birthday
feliz cumple,ro,Happy birthday
feliz cumpleaños lip,es,Happy Birthday Lip
happy birthday alive healthy,en,happy birthday alive healthy
happy birthday,en,happy birthday
happy birthday,so,happy birthday
happy birthday,so,happy birthday
santo cielos lip,es,Holy heaven lip
happy birthday jeremy,so,happy birthday jeremy
happy birthday god bless,en,happy birthday god bless
happy birthday jeremy little bit older lot fabulous,en,happy birthday jeremy little bit older lot fabulous
happy birthday lip,tl,happy birthday lip
happy birthday,tr,happy birthday
happy birthday,so,happy birthday
big bro,da,big bro
pici love,sl,Pici Love
miss baby come home,en,miss baby come home
pretty sure filming movie,en,pretty sure filming movie
njny apparently new movie,en,njny apparently new movie
blonde hair blue eyes doll,fr,blonde hair blue eyes doll
saw today freehold lol,en,saw today freehold lol
oh goodness meet someone like sooooooo handsome amazing job thw bear started wat hing last weekend love,af,oh goodness meet someone like sooooooo handsome amazing job thw bear started wat hing last weekend love
love reading playing bruce,en,love reading playing bruce
word bond watching shameless right,en,word bond watching shameless right
saw today brooklyn stopped say hellos want bother,en,saw today brooklyn stopped say hellos want bother
show tamy us,so,show tamy us
hi letting know,en,hi letting know
co star put red pin jeremy thick know means know part jewish community disgraceful,en,co star put red pin jeremy thick know means know part jewish community disgraceful
thank making mine bosses day freehold nj waved us sitting bruces car scene,en,thank making mine bosses day freehold nj waved us sitting bruces car scene
bf younger version,da,bf younger version
love much,cs,love much
anyone currently watching shameless,en,anyone currently watching shameless
wonder exercises photoshoot get good pump looks like,af,wonder exercises photoshoot get good pump looks like
rosalia es mia,es,Rosalia is mine
punet azo,ro,nitrogen
ah,so,ah
vorrei essere il cucchiaino,it,I would like to be the spoon
gostoso,sl,tasty
lip,tl,lip
cookin lip,tl,cookin lip
doll,cy,doll
que bien que come la rosalia,es,How good that Rosalia eats
q ya nooo hay mas estaba muy pegada pero supuestamente seguirá más capítulos que así sea,es,that there is noo more was very stuck but it will supposedly follow more chapters than so
look really hot jeremy edgar allen poe,en,look really hot jeremy edgar allen poe
yes,tr,yes
lip gallagher,tl,lip gallagher
oh total joke thanks,fi,oh total joke thanks
big hug ukraine,tl,big hug ukraine
uhhh daddy,cy,Uhhh Daddy
congrats globe,ca,congrats globe
golden globe jeremy,da,golden globe jeremy
winnnnnnn,cy,Winnnnnnn
congrats golden globes,ca,congrats golden globes
congratulations,ro,congratulations
congrats award,en,congrats award
que homem,fr,what a man
ganaste un golden globe estabas donde estabas cousin,es,You won a Golden Globe you were where you were cousin
king,tl,king
babe needed see suit tonight,af,babe needed see suit tonight
king miss golden globes,no,king miss golden globes
retweet,nl,retweet
boa noite jeremias tudo bom tá tudo bem como vai família pq vc não foi recebeu seu globo de ouro hj mesmo,pt,good night Jeremiah all right okay how's going family because you were not received your golden globe hj
aparece véi,ro,appears veil
congratulations,ro,congratulations
globe winner,de,globe winner
wwww golden globe,cy,wwww golden globe
nominated,it,nominated
ever manage get arms jacked probably would never wear sleeves lol,en,ever manage get arms jacked probably would never wear sleeves lol
hey babe,so,hey babe
tell,it,tell
congratulations win love show,en,congratulations win love show
congratulations victory golden globes,en,congratulations victory golden globes
congratulations,en,congratulations
go golden globes,cy,go golden globes
por que eres tan hermoso,es,Why are you so beautiful
jeremy dove sei metti na foto qualcosa,it,Jeremy where you're put something photo
parabéns pelo golden globe amor te amo,es,Congratulations on the Golden Globe Amor you
busy filming bruce springsteen movie new jersey probably,en,busy filming bruce springsteen movie new jersey probably
totalmente delicioso,es,totally delicious
brother bear die peanut butter falcon dang love actors great job keep coming,en,brother bear die peanut butter falcon dang love actors great job keep coming
congrats golden globe,nl,congrats golden globe
lip gallagher da favela ao globo de ouro,pt,Lip Gallagher from Favela to the Golden Globe
peanut butter jermey sandwich,en,peanut butter jermey sandwich
girlhood,so,girlhood
one good message stay us uncreddible divine alain v flanders belgium,en,one good message stay us uncreddible divine alain v flanders belgium
proud,cs,proud
chiamato ier sera lacrime dicendo che te un lo seguivi vogliamo rimediare,it,called Ier evening tears saying that you follow you we want to remedy it
culinary ahh pbj,en,culinary ahh pbj
te extrañamos lip,es,We miss you lip
excellent actor could triology new willy wonka series biopics river phoenix james dean,en,excellent actor could triology new willy wonka series biopics river phoenix james dean
song though,en,song though
mmmm nice spoon,cs,mmmm nice spoon
hit us run jam,fi,hit us run jam
ever seen,nl,ever seen
rewatched shamelss,en,rewatched shamelss
que pare,fr,that stop
need religiously,en,need religiously
need shameless season,en,need shameless season
god damn,cy,god damn
si chef todo lo que usted diga,it,If chef everything you say
allez bye,hu,go bye
tough,en,tough
real af bro,da,Real of Bro
fine,it,fine
looks exactly like boyfriend,af,looks exactly like boyfriend
