text_no_emoji,lang,translated_text
happy belated jaw,af,happy belated jaw
happy birthday bombón,so,Happy Birthday Bombón
voy tener que ver el oso por que ya estraño lip,es,I will have to do with the bear because Lip's strange
feliz cumpleaños al amor de mi vida,es,Happy birthday to the love of my life
goshhhhhh,cy,goshhhhhh
yes,tr,yes
smash,sq,smash
forever lipe,da,forever lipe
need,af,need
man,tl,man
looking good,tl,looking good
friend ana gomez said daddy fr,cy,friend ana gomez said daddy fr
mi marido,so,My husband
está mas fuerte que el aliento de un oso,es,is stronger than the breath of a bear
keep,et,keep
sei tu,fi,it's you
ifly lip,cy,ifly lip
lip,tl,lip
like,et,like
would love work enigma project,nl,would love work enigma project
believe eating,da,believe eating
dolly,cy,dolly
amazing watch,sw,amazing watch
pants would look better floor,af,pants would look better floor
equinox paying,fr,equinox paying
yum,tr,yum
better man,no,better man
huge,da,huge
babe,so,babe
james dean upgrade,sv,james dean upgrade
happy birthday,so,happy birthday
auguri boosss,et,wishes boosss
happy birthday,so,happy birthday
happy birthday,so,happy birthday
feliz cumple,ro,Happy birthday
feliz cumpleaños lip,es,Happy Birthday Lip
happy birthday,so,happy birthday
happy birthday,so,happy birthday
santo cielos lip,es,Holy heaven lip
happy birthday jeremy,so,happy birthday jeremy
happy birthday lip,tl,happy birthday lip
happy birthday,tr,happy birthday
happy birthday,so,happy birthday
big bro,da,big bro
pici love,sl,Pici Love
blonde hair blue eyes doll,fr,blonde hair blue eyes doll
oh goodness meet someone like sooooooo handsome amazing job thw bear started wat hing last weekend love,af,oh goodness meet someone like sooooooo handsome amazing job thw bear started wat hing last weekend love
show tamy us,so,show tamy us
bf younger version,da,bf younger version
love much,cs,love much
wonder exercises photoshoot get good pump looks like,af,wonder exercises photoshoot get good pump looks like
rosalia es mia,es,Rosalia is mine
punet azo,ro,nitrogen
ah,so,ah
vorrei essere il cucchiaino,it,I would like to be the spoon
gostoso,sl,tasty
lip,tl,lip
cookin lip,tl,cookin lip
doll,cy,doll
que bien que come la rosalia,es,How good that Rosalia eats
q ya nooo hay mas estaba muy pegada pero supuestamente seguirá más capítulos que así sea,es,that there is noo more was very stuck but it will supposedly follow more chapters than so
yes,tr,yes
lip gallagher,tl,lip gallagher
oh total joke thanks,fi,oh total joke thanks
big hug ukraine,tl,big hug ukraine
uhhh daddy,cy,Uhhh Daddy
congrats globe,ca,congrats globe
